fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento_txt,overflow
2022-10-28,0.97,11.2,0.0,NO,0
2022-10-29,0.97,10.5,0.0,NO,0
2022-10-30,0.97,10.3,2.8,NO,0
2022-10-31,0.97,10.3,0.4,NO,0
2022-11-01,0.97,10.3,0.0,NO,0
2022-11-02,0.97,10.5,0.0,NO,0
2022-11-03,1.01,12.5,0.2,NO,0
2022-11-04,1.0,12.0,0.4,NO,0
2022-11-05,1.0,12.1,0.0,NO,0
2022-11-06,1.0,12.0,0.0,NO,0
2022-11-07,1.0,11.9,0.0,NO,0
2022-11-08,1.0,12.1,0.0,NO,0
2022-11-09,0.99,11.3,0.2,NO,0
2022-11-10,1.0,12.3,0.0,NO,0
2022-11-11,0.99,11.6,0.0,NO,0
2022-11-12,0.97,10.2,0.0,NO,0
2022-11-13,0.97,10.2,0.4,NO,0
2022-11-14,0.97,10.3,1.0,NO,0
2022-11-15,0.97,10.2,0.2,NO,0
2022-11-16,0.97,10.3,0.0,NO,0
2022-11-17,0.97,10.3,0.0,NO,0
2022-11-18,0.97,10.3,2.2,NO,0
2022-11-19,0.97,10.3,1.6,NO,0
2022-11-20,0.97,11.1,3.6,NO,0
2022-11-21,1.32,48.6,10.0,NO,0
2022-11-22,1.3,53.5,2.2,NO,0
2022-11-23,1.09,34.9,1.2,NO,0
2022-11-24,0.94,17.3,15.0,NO,0
2022-11-25,0.95,18.8,0.2,NO,0
2022-11-26,0.96,19.6,0.0,NO,0
2022-11-27,0.94,18.1,3.6,NO,0
2022-11-28,0.94,18.2,0.2,NO,0
2022-11-29,0.92,13.3,0.0,NO,0
2022-11-30,0.97,11.1,0.0,NO,0
2022-12-01,0.96,10.5,0.0,NO,0
2022-12-02,0.96,10.4,0.0,NO,0
2022-12-03,0.95,10.6,0.8,NO,0
2022-12-04,0.95,10.1,0.0,NO,0
2022-12-05,0.95,10.1,0.2,NO,0
2022-12-06,0.95,10.1,0.0,NO,0
2022-12-07,0.95,10.1,0.0,NO,0
2022-12-08,0.95,10.1,3.4,NO,0
2022-12-09,0.94,11.2,1.8,NO,0
2022-12-10,0.95,10.0,0.0,NO,0
2022-12-11,0.95,10.0,1.6,NO,0
2022-12-12,0.96,10.2,18.4,NO,0
2022-12-13,0.94,16.7,3.0,NO,0
2022-12-14,0.96,20.7,4.8,NO,0
2022-12-15,1.0,25.7,5.8,NO,0
2022-12-16,1.0,26.4,1.0,NO,0
2022-12-17,1.0,28.1,0.0,NO,0
2022-12-18,1.0,27.5,0.0,NO,0
2022-12-19,0.9,14.6,0.0,NO,0
2022-12-20,0.89,14.1,6.2,NO,0
2022-12-21,0.89,14.1,0.0,NO,0
2022-12-22,0.89,14.1,0.0,NO,0
2022-12-23,0.9,14.6,0.0,NO,0
2022-12-24,0.89,14.5,0.0,NO,0
2022-12-25,0.89,13.9,0.0,NO,0
2022-12-26,0.89,14.3,0.8,NO,0
2022-12-27,0.92,11.6,0.0,NO,0
2022-12-28,0.95,11.1,0.0,NO,0
2022-12-29,0.95,11.1,5.0,NO,0
2022-12-30,0.95,11.1,0.0,NO,0
2022-12-31,0.94,11.0,0.0,NO,0
2023-01-01,0.94,18.6,0.6,NO,0
2023-01-02,0.92,19.2,0.0,NO,0
2023-01-03,0.93,12.2,0.0,NO,0
2023-01-04,0.96,11.7,0.0,NO,0
2023-01-05,0.95,11.0,0.0,NO,0
2023-01-06,0.97,12.5,0.0,NO,0
2023-01-07,0.96,12.3,8.0,NO,0
2023-01-08,0.96,14.3,6.6,NO,0
2023-01-09,0.95,11.7,0.0,NO,0
2023-01-10,0.98,24.6,1.8,NO,0
2023-01-11,0.91,17.5,3.6,NO,0
2023-01-12,0.92,19.5,0.0,NO,0
2023-01-13,0.95,22.9,0.0,NO,0
2023-01-14,0.94,21.9,2.6,NO,0
2023-01-15,0.94,22.5,6.8,NO,0
