fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,nivel_lag2,caudal_lag2,lluvia_3d,lluvia_7d,lluvia_media_7d,nivel_diff,caudal_diff,nivel_media_3,caudal_media_3,nivel_media_7,caudal_media_7,dia_sin,dia_cos
2023-08-21,0.86,19.26,0.2,0,3.0086484988205373,0.86,3.0086484988205373,0.88,3.068517943279639,0.1999999999999929,0.599999999999993,0.08571428571428472,0.0,0.0,0.8666666666666666,19.676666666666677,0.8571428571428571,19.07857142857143,-0.7567706633464625,-0.653680474772006
2023-08-22,0.84,18.0,0.0,0,2.9444389791664403,0.86,3.0086484988205373,0.86,3.0086484988205373,0.1999999999999929,0.1999999999999929,0.028571428571427557,-0.020000000000000018,-1.2600000000000016,0.8533333333333334,18.840000000000007,0.8557142857142858,18.98857142857143,-0.7678804460366,-0.6405931786981752
2023-08-23,0.84,18.0,0.0,0,2.9444389791664403,0.84,2.9444389791664403,0.86,3.0086484988205373,0.1999999999999929,0.1999999999999929,0.028571428571427557,0.0,0.0,0.8466666666666667,18.420000000000005,0.8542857142857143,18.898571428571426,-0.7787639308347605,-0.627317096874294
2023-08-24,0.84,18.0,0.0,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,0.0,0.1999999999999929,0.028571428571427557,0.0,0.0,0.84,18.0,0.8528571428571429,18.80857142857143,-0.7894179103280194,-0.6138561418226122
2023-08-25,0.84,18.0,0.0,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,0.0,0.1999999999999929,0.028571428571427557,0.0,0.0,0.84,18.0,0.8514285714285714,18.71857142857143,-0.7998392447397191,-0.6002142805483686
2023-08-26,0.84,18.0,5.2,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,5.199999999999993,5.399999999999993,0.7714285714285705,0.0,0.0,0.84,18.0,0.8457142857142858,18.359999999999996,-0.8100248628547748,-0.5863955333706962
2023-08-27,0.84,18.0,7.8,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,12.999999999999993,13.199999999999992,1.8857142857142846,0.0,0.0,0.84,18.0,0.8428571428571427,18.18,-0.8199717629247767,-0.5724039727378154
2023-08-28,0.84,18.0,1.0,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,13.999999999999993,13.999999999999993,1.999999999999999,0.0,0.0,0.84,18.0,0.84,18.0,-0.8296770135526185,-0.5582437220268655
2023-08-29,0.84,18.0,0.4,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,9.199999999999994,14.399999999999993,2.057142857142856,0.0,0.0,0.84,18.0,0.84,18.0,-0.8391377545563938,-0.5439189543287248
2023-08-30,0.84,18.0,0.0,0,2.9444389791664403,0.84,2.9444389791664403,0.84,2.9444389791664403,1.3999999999999928,14.399999999999993,2.057142857142856,0.0,0.0,0.84,18.0,0.84,18.0,-0.8483511978123038,-0.5294338912181854
